 '2,,,,,,,,,,,,,,Sumber,,,,
No,Nama Usaha,Kategori,Menu/Produk Andalan,Kisaran Harga (Rp),Jam Operasional,Terdaftar di Pokdarwis,No. WA/Telepon,Pantai Terdekat,Alamat,Gmaps Tersedia,Link Google Maps,"Media Sosial
(opsional)",Link Foto,Google Maps,Media Sosial,Survei Langsung,Status Kelengkapan,Catatan
39,"W,R mbak wulan",Warung Makan,"ikan bakar, udang bakar, lobster",5rb-700rb,07.00 - 21.00 ,Belum Dicek,wa.me/62823351777320,Pasir Putih Watukarung,"Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Ya,"https://www.google.com/maps/place/W,R+mbak+wulan/data=!4m7!3m6!1s0x2e7bddfca56e4d03:0xfb2b7813f0887107!8m2!3d-8.236559!4d110.9727049!16s%2Fg%2F11rhdt2zm_!19sChIJA01upfzdey4RB3GI8BN4K_s?authuser=0&hl=id&rclk=1",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEy-7W-JtTRGWGMgeyOj0y_UzhUZeouoRccSn54y0eY40R-BjRCv1c6b36YA8CimX0WeJ-MHvK-e2m8I-IeEKI5i1pm1BWldtIJAsmYxp6TtNCErS5KM1BksbWrTtkQ8uSXV5i7ZA=w426-h240-k-no,Ya,Tidak,Ya,Belum Lengkap,
40,Warung Mbah Slamet Kasap,Restoran,-,,08.00-12.00,Belum Dicek,wa.me/62852312017160,Pasir Putih Watukarung,"Alamat: QX6M+642, Gumuharjo, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur, Indonesia",,https://www.google.com/maps/place/Warung+Mbah+Slamet+Kasap/data=!4m7!3m6!1s0x2e7bdde9b79d343f:0xf9de732e21bb9f57!8m2!3d-8.2394859!4d110.9827515!16s%2Fg%2F11g8vm1h68!19sChIJPzSdt-ndey4RV5-7IS5z3vk?authuser=0&hl=id&rclk=1,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH01wbNTi_cX6_KOHCEDPxNH62Pvv2WocVbyqd0SWzXQsX6mvR6vtQ6Qd3ExypbSZXa10WECDvojprMUywtjKQsA8B4qo5vftS47PGTtIkO6HYvXJ6OZMtrsdQ2Y3Vtl7aIReA1=w408-h306-k-no,Ya,Tidak,Tidak,Belum Lengkap,
41,Warung Seafood Bu Suratmi,Restoran,-,8rb-35rb,06:00-18:00,Belum Dicek,wa.me/62852594230130,Pasir Putih Watukarung,"Alamat: QX5M+V7M, G, Gumuharjo, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",,https://www.google.com/maps/place/Warung+Seafood+Bu+Suratmi/data=!4m7!3m6!1s0x2e7bdd0026bb1fd9:0xaeed113e9e859c00!8m2!3d-8.2402875!4d110.9831719!16s%2Fg%2F11yfyk_hqq!19sChIJ2R-7JgDdey4RAJyFnj4R7a4?authuser=0&hl=id&rclk=1,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF6VnXPXhlZVfgCTaIGBrFwwifiDDBRPJh7HcXQm51uWJOW2FgvqwgaTOQ4urVdgFqCEwc5REJbNwWiz2qpyJz-kbcncuOXipoN89W78uIDL4k8aZnd6i-ZLqBk34osIu8qKdXjoKt1-d7G=w426-h240-k-no,Ya,Tidak,Tidak,Belum Lengkap,
42,"Warung Makan ""Murah Rejeki"" Yu Sulis",Warung Makan,"Seafood, Ikan Bakar",5rb- 30rb,7:00 - 19:00 (weekend & hari libur),Belum Dicek,wa.me/6282140946714,Pasir Putih Watukarung,"Alamat: QX7C+JC8, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Ya,"https://www.google.com/maps/place/Warung+Makan+%22Murah+Rejeki%22+Yu+Sulis/@-8.2359687,110.9710813,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bdd2dd5686339:0xf45177527394df6c!8m2!3d-8.2359687!4d110.9710813!16s%2Fg%2F11q1r7681x?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D ",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFBlSAe-szFy9hRaxnaWGwsqC_NL4NEZUVtrzRzlKD9m3R07jgR4LET44LfLl8HiuoyDzq1Lhms-0zPD3vg2TpM_Wr0A8Pj_MgQAe0MeUyvinxq2Iwb8cYNaTBpqXkLV1mtE9i5=w425-h240-k-no,Ya,Tidak,Tidak,Lengkap,
43,WM Moro Nyamleng,Warung Makan,Seafood,5rb - 90rb,07:00-18:00 (setiap hari),Belum Dicek,wa.me/62852344533050,Pasir Putih Watukarung,"Alamat: Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Ya,https://www.google.com/maps/place/WM+Moro+Nyamleng/data=!4m7!3m6!1s0x2e7bdd6ac31efd89:0x10ead4909b39db13!8m2!3d-8.2378027!4d110.9752525!16s%2Fg%2F11zb2bp9r_!19sChIJif0ew2rdey4RE9s5m5DU6hA?authuser=0&hl=id&rclk=1,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHECsFwmsNdqNR92vEtYc82kw5RE5QBGSLRMtxXf_GxDV5-8WI7oC469arbs34BRTPUd820tOJzkcLXVhobx55qhDgvoahVu6z9CPww7VJK1jxvImCsyNGwDagMnnF5ojSBKLFwtwLK5Gj_=w32-h32-p-k-no,Ya,Tidak,Ya,Belum Lengkap,lengkapin foto maps
44,Ayam bakar abby dan penginapan pondok inueng,Warung Makan,"Aneka Bakaran, Pecel Lele",25rb/ orang,14.00-22.00,Belum Dicek,wa.me/62813827011280,Pasir Putih Watukarung,"Alamat: Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552",Ya,"https://www.google.com/maps/place/Ayam+bakar+abby+dan+penginapan+pondok+inueng/@-8.2364477,110.9752667,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bddb74af60c2d:0x4a3d6f0cd738ea02!8m2!3d-8.2364477!4d110.9752667!16s%2Fg%2F11t3xjphq_?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHXwD4ZMEeIQJt8xyKhrMyrBww1myGDZJ668rDDsRWwtJqpgjLqo9C6_49XjdxU_Ta1zDFhmc7uCi6tyHP244q0qJ6BKvAQqv3Yy8x4OVCEsfkiuH14v68ItGxFeCV_BiH-p1Jp=w408-h885-k-no,Ya,Tidak,Tidak,Belum Lengkap,
45,Restoran Desa Limasan,Restoran,-,,08.00-20.00,Belum Dicek,wa.me/62852344935760,Pasir Putih Watukarung,"Alamat: RT.01/RW.06, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552",Ya,https://www.google.com/maps/place/Restoran+Desa+Limasan/data=!4m7!3m6!1s0x2e7bddf55659141f:0xa4bc12ef7f45a28!8m2!3d-8.2367979!4d110.9753026!16s%2Fg%2F11jzdmqpsr!19sChIJHxRZVvXdey4RKFr09y7BSwo?authuser=0&hl=id&rclk=1,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHayW9LZ6z_DERveFLGObhGDum8Sjlp2sj3QfBfHonUncQnL5jioS0eDaxzG-uUzMgh5LgYOUepJJH3hHdHbHijOyBXJXskvhlHM23HnCuTr0Xcx0UTYx22UbhHRjrJr6aZv02LnA=w408-h408-k-no,Ya,Tidak,Tidak,Belum Lengkap,
46,Warung makan MBAK MUR,Restoran,"Mie ayam, Bakso, Lontong Pecel",,5.00-16.00,Belum Dicek,wa.me/62823306322070,Pasir Putih Watukarung,"Alamat: QX8F+34V, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",,"https://www.google.com/maps/place/Warung+makan+MBAK+MUR/@-8.2347565,110.9727834,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bdd0e37a3c4d9:0xf7b3cd0cc2809f5a!8m2!3d-8.2347565!4d110.9727834!16s%2Fg%2F11j0p3vb6s?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGKvm1k6QjuiHsmrm1UJ9h-jUDz3VaNOQzMoQyCsRf-ClGCMiZ9WPGL6ojdWPwB1DzUuo50hJO5L2so06z6SArm1A7gqh17c-0LW8Fl0yHik1UYT9b2OdRb0PdsA6ab7yW38h0=w112-h112-p-k-no,Ya,Tidak,Tidak,Belum Lengkap,
47,Warung Makan RASA DAMAI,Warung Makan,"Fried Chicken Crispy, Aneka Juice",5rb-25rb,6.00-21.00,Belum Dicek,wa.me/62821313836450,Pasir Putih Watukarung,"Alamat: Dekat Edy homestay, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",,"https://www.google.com/maps/place/Warung+Makan+RASA+DAMAI/@-8.236316,110.9736095,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bdd20c0b1f99f:0xc9e4e45f5c4eabec!8m2!3d-8.236316!4d110.9736095!16s%2Fg%2F11mdfkv8n6?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE5uaMtF8ubkrsu0SOWVNLTVR7qWmeZjluxcW4sWapSeCmK5MIYtV90fI8XqQ7rvS9yX5g9te4zb-AWNsE6c9ZaoqnkMwxaX1iwgAKMY1K2qaH8hZ72XNKqi6jE48qO8ucufBU20g=w408-h306-k-no,Ya,Tidak,Tidak,Belum Lengkap,
48,Warung BAKARAN,Warung Makan,"Tempura, Roti Bakar, Burger",2rb-15rb,14.00-19.00,Belum Dicek,wa.me/62813582841090,Pasir Putih Watukarung,"Alamat: Gumulharjo, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",,https://www.google.com/maps/place/Warung+BAKARAN/data=!4m7!3m6!1s0x2e7bdd66501e8fc3:0x57fe89cfd09d9e6d!8m2!3d-8.2359854!4d110.9728652!16s%2Fg%2F11z589wb6h!19sChIJw48eUGbdey4RbZ6d0M-J_lc?authuser=0&hl=id&rclk=1,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEvLiNvHtyoh2JuiZBU74Qt9RUg-T-P0zLFtha2e0nKCQYk70xA8UvcA8VjnRaHqp5fEyGe3Fgja9SNtEBW9ToVe0I1EuUwLGPBLl-ssn4BxS2ZShoHfsPe67Ur75fAQOsqnyfuQNGVW5Zp=w426-h240-k-no,Ya,Tidak,Tidak,Belum Lengkap,
49,Kopi Kliyeng,Cafe,Aneka Kopi,-,19.00-02.00,Belum Dicek,wa.me/62813575463080,Pasir Putih Watukarung,"Alamat: QX7G+PW4, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552",,"https://www.google.com/maps/place/Kopi+Kliyeng/@-8.2357496,110.9773368,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bdd002d128d69:0xff0d4e41e1c8bf75!8m2!3d-8.2357496!4d110.9773368!16s%2Fg%2F11z5dc434h?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEPK0J8VprnxQth1_EKG611hOcCDsbLQ4iKcdHDQ5fbQmkj-MLV6uCSYu6vlHgKUs_UZoC4m9jagNf7bft77nM8OTMuqNgIpBNRlKs7xlGMVZeU-nE-61sAbV2vNABVX7gWiRgAKyRnRFYo=w408-h544-k-no,Ya,Tidak,Tidak,Belum Lengkap,
50,"Warung Makan ""Elingo"" Mbak Wi",Restoran,"Seafood, Ikan Bakar",3rb - 25rb,"6:30 - 18.00 (weekend)
10:00 - 18:00 (weekday)",Belum Dicek,wa.me/6281358759602,Pasir Putih Watukarung,"Alamat: QX7C+M85, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Ya,https://www.google.com/maps/place/Warung+Makan+%22Elingo%22+Mbak+Wi/data=!4m7!3m6!1s0x2e7bdd0049bf2a7b:0x14a1a2f219d90237!8m2!3d-8.2358878!4d110.9708278!16s%2Fg%2F11y67l132d!19sChIJeyq_SQDdey4RNwLZGfKioRQ?authuser=0&hl=id&rclk=1,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHa-mMBJrrXK23zbakFN6Ou_zKV8FsoH9RbP7uqgMyrs2OrWfQSOr8N9axpf8G5VHcyt6J_PAljO50Xr-5OWf0RO0o-wId62i-KsVexCf8B_E4EgdVE07gLC2rS15kOGgpm_NR3yS5WmZ0-=w408-h306-k-no,Ya,Tidak,Tidak,Lengkap,
51,Warung pojok,Cafe,-,,,Belum Dicek,wa.me/62822571897200,Pasir Putih Watukarung,"Alamat: gumulharjo Rw07 No.Rt 01, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Ya,https://www.google.com/maps/place/Warung+pojok/data=!4m7!3m6!1s0x2e7bddaa78677107:0x4cefe3937eab1b45!8m2!3d-8.234502!4d110.9710953!16s%2Fg%2F11vkm6bmmp!19sChIJB3FneKrdey4RRRurfpPj70w?authuser=0&hl=id&rclk=1,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE0rrVtA2HBusBiOuiCVUMgMsytMQq-Sl4sfiCb5WJAbm4owTYim7-YE7Ip3L0rgjCW9yXA8ZTcHKY0VUNMrTp7Uc-fUR5_-Sx_DIAHk6tgxUef9gAyIqOgX1ghdXuiKC9n4GDs=w408-h306-k-no,Ya,Tidak,Tidak,Belum Lengkap,
52,Warung Makan Lagoi,Warung Makan,-,,,Belum Dicek,wa.me/62853318935000,Pasir Putih Watukarung,"Alamat: QX7H+H2V, Jalan Dusun, RT.01/RW.07, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Ya,"https://www.google.com/maps/place/Warung+Makan+Lagoi/@-8.2360238,110.9775518,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bdd23387723f9:0xb90a7c6122cfcbc1!8m2!3d-8.2360238!4d110.9775518!16s%2Fg%2F11fb0rtrp9?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D",,https://lh3.googleusercontent.com/a-/ALV-UjUvMXtQTfm5V6AOlKH5bUUmOZXmIRYr6EzwAk_ldIi50Ux6tadE=w36-h36-p-rp-mo-ba12-br100,Ya,Tidak,Tidak,Belum Lengkap,
53,Aloha Sea Food,Warung Makan,"Seafood, Ikan Bakar, Paketan",,"5:00 - 22.00 (weekend), weekday opsional tamu",Belum Dicek,wa.me/6282336622612,Pasir Putih Watukarung,"Alamat: QX7C+M6W, Jalan Kerapu MilakKetro, Ketro, Watukarung, Pringkuku, Pacitan Regency, East Java 63552, Indonesia",Ya,https://www.google.com/maps/place/Aloha+Sea+Food/data=!4m7!3m6!1s0x2e7bdd0074fa5769:0xda51b26e7f3a52d6!8m2!3d-8.2357722!4d110.9705699!16s%2Fg%2F11x8f_tmzg!19sChIJaVf6dADdey4R1lI6f26yUdo?authuser=0&hl=id&rclk=1,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH8KdQxAlVfOig-qIww4FKwrRLo97CbU6ge2PQ8I0Xlx--hTRNslDnFHwWseaMrRK_HhWzfcGniopSGOuzHofwC7ItPVq2q-tKu4MhRLyh3ZGUAIJqeHPFy5u0_0L3pUn1BgXJ2FDkiH-o0=w408-h544-k-no,Ya,Tidak,Tidak,Lengkap,
54,Warung Makan Pesisir Bu Surati,Warung Makan,"Seafood, Ikan Bakar",,,Belum Dicek,wa.me/62852338351750,Pasir Putih Watukarung,"Alamat: QX7C+HHR, Jalan Dusun, RT.01/RW.07, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",,https://www.google.com/maps/place/Warung+Makan+Pesisir+Bu+Surati/data=!4m7!3m6!1s0x2e7bdd217eac944b:0x51cadf2b61664318!8m2!3d-8.2360187!4d110.9713908!16s%2Fg%2F11fb0swn5s!19sChIJS5SsfiHdey4RGENmYSvfylE?authuser=0&hl=id&rclk=1,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF-AVpanEC8swA9iKcvXSSM7xBkpFU7r9bBy4GkVaR_uXtA-Q0U4jaJv-zTQShsagOLe8gAVmpdPIoQklDIHIywmOWVloZvIy-po9FcRyi309LbScWFo0h7skLCrioiggDMoI-d=w32-h32-p-k-no,Ya,Tidak,Tidak,Belum Lengkap,
55,Warung Sukarti  Blosok,Warung Makan,"Aneka cemilan, Minuman",5rb-20rb,06.00-21.00,Belum Dicek,-,Blosok,"Alamat: QX87+R25, GUMULHARJO, Area Pesawaham, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552",Ya,https://www.google.com/maps/place/Warung+Sukarti++Blosok/data=!4m7!3m6!1s0x2e7bdd9f8500bfd5:0xd38c20554d566e88!8m2!3d-8.2329999!4d110.9626215!16s%2Fg%2F11vb16v_n2!19sChIJ1b8AhZ_dey4RiG5WTVUgjNM?authuser=0&hl=id&rclk=1,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFIVl5wxYz_TsZrS6erq5_uby0WdBXlqx77psQSNB4lg2DF7UEtux2BLzik3UPSPvogWUBmMUNyIIIo9gsQPu36oaHGhlkwENXSwr7F1GpUEGVjf4CPKHXAuutrvkFdM3ZSj8LzkA=w32-h32-p-k-no,Ya,Tidak,Tidak,Belum Lengkap,
56,"Warung Makan ""Ricky Homestay""",Warung Makan,Seafood,5rb- 130rb,07:00 - 12.00 (weekend),Belum Dicek,wa.me/62852340229700,Pasir Putih Watukarung,"Alamat: QX6F+VF9, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Ya,"https://www.google.com/maps/place/Warung+Makan+%22Ricky+Homestay%22/@-8.2378375,110.9737344,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bdd007a4fc26b:0x1d3554fe1faf2e2d!8m2!3d-8.2378375!4d110.9737344!16s%2Fg%2F11wv3qv_kg?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHg6RP8CmbiLREL-4v3ydjQsDbX_DVUn0OHBB-D_N9SqQFjWFdy9uEigkFSnfVUH4wTbwTnS39y-gdJFCPpLcw0oO5zBm3OxGv8CYMZ_bKgC3TqO2hEsKjd6RxcLwNCZxVCuawQ=w32-h32-p-k-no,Ya,Tidak,Tidak,Belum Lengkap,
57,warung moca adventure,Restoran,-,,,Belum Dicek,wa.me/62823012857380,Pasir Putih Watukarung,"Alamat: QX7C+MG3, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Ya,"https://www.google.com/maps/place/warung+moca+adventure/@-8.2358588,110.9712887,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bddbefeede709:0xf149b70efa4872f4!8m2!3d-8.2358588!4d110.9712887!16s%2Fg%2F11c5xrn3qt?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF3cBXYdNaIdJwzvcmxCYYshieEncHP3Vzu55gbHqgtILBO1egi_wZGjdH416qM2GTdxoLNyDv-PMAtY7Nb6A6D69hUdCXNppyJ40LRIi9zYn0Cu5P5SW7Sefh8nrG5zy7i5Xw=w408-h306-k-no,Ya,Tidak,Tidak,Belum Lengkap,
58,Waroeng Makan Abah Kumis,Restoran,-,,,Belum Dicek,,Pasir Putih Watukarung,"Alamat: QX7G+HWF, Unnamed Road, Kenol, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Ya,"https://www.google.com/maps/place/Waroeng+Makan+Abah+Kumis/@-8.2360534,110.977309,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bddc054613479:0x39cba7334b9b06d9!8m2!3d-8.2360534!4d110.977309!16s%2Fg%2F11fy_6cmwx?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH1sLKXA8MYwRF4-eNcMWe3t3PdhfvVfONF347JDYPw6gvg5d--Ga_ZbQ_Dhsbppo_Di5aihO-pHQhtosiVW8_m-ABIYgtAMO3RboJO7_JQFYNPSbk7tT6cwf6LO2qndzr2fMSUCA=w426-h240-k-no,Ya,Tidak,Tidak,Belum Lengkap,
59,Warung makan ibu sunarti watukarung pacitan,Warung Makan,"Ikan bakar, seafood",3rb - 600rb,"07.00 - 18.00 (jumat, weekend)",Belum Dicek,wa.me/6281249186887,Pasir Putih Watukarung,"Alamat: Rt01, RW.06, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Ya,https://www.google.com/maps/place/Warung+makan+ibu+sunarti+watukarung+pacitan/data=!4m7!3m6!1s0x2e7bdd67229621e7:0x8d69b598f8621af9!8m2!3d-8.2394156!4d110.9755761!16s%2Fg%2F11ml1rnmlt!19sChIJ5yGWImfdey4R-Rpi-Ji1aY0?authuser=0&hl=id&rclk=1,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFR0LlFDRArTFq46vQ2T-NupUq0js43fjTNDZ56NCx0ucStAi0msk2Dg8GHgQHh8scPJm24GYA_ciSHN2q-5VIRY9BnU9Px9wApztEFww-bK7JnkPXa049vU3L3j2nCLz6sA2EF7wWdHw6D=w32-h32-p-k-no,Ya,Tidak,Ya,Belum Lengkap,"alamat maps nya salah > udah dibenerin titik nya di maps, lengkapin foto maps"
60,Lesehan Spot Kasap Indah,Restoran,-,,,Belum Dicek,wa.me/62853302355440,Pasir Putih Watukarung,"Alamat: Kawasan  Kasap, Gumuharjo, Watukarung, Gumuharjo, Kabupaten, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur, Indonesia",Ya,"https://www.google.com/maps/place/Lesehan+Spot+Kasap+Indah/@-8.238405,110.9835569,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bdde82a59a691:0xc9067f5b9f371e57!8m2!3d-8.238405!4d110.9835569!16s%2Fg%2F11dz0kcvlk?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF6LrKuKW_5JwvHK6QGIwQefrAs99Nywp3en1qArRjS98rrcjm7dITdBQ5aedO-cfOaLzv1OVw7BQDZQokN0aTvEMVW-byX-Z8bZgbpO5qyJPELnsgkrY5yvSMVLdgnLNmzoZfwBwRXyGw=w408-h544-k-no,Ya,Tidak,Tidak,Belum Lengkap,
61,Warung Si kembar,Warung Makan,"Seafood, Ikan Bakar",5rb - 40rb,7:30 - 18:00 (weekend),Belum Dicek,wa.me/6282334003467,Pasir Putih Watukarung,"Alamat: QX7C+JC6, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Ya,https://www.google.com/maps/place/Warung+Sikembar/data=!4m7!3m6!1s0x2e7bdd8c1568ee29:0xb937f81c6a17dd82!8m2!3d-8.2359576!4d110.9710083!16s%2Fg%2F11h0xq7mxq!19sChIJKe5oFYzdey4Rgt0Xahz4N7k?authuser=0&hl=id&rclk=1 ,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFzchCRnbWmg6aSKUTGZ7uqaNbRYBXvQvEhE065nxgnYo9_a6p08mb_vIdZYp8Q0n3BXIbLb0GLcs1umE6ZEcOOSrUC1FU8hJowQqoI65m8r8B2nQZQq8FLjWC-Y2F_j2zmyvmt=w408-h306-k-no,Ya,Tidak,Tidak,Belum Lengkap,
62,Pisang goreng Mbok Surati,Cafe,-,,,Belum Dicek,,Pasir Putih Watukarung,"Alamat: QX7F+H58, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Tidak,https://www.google.com/maps/place/Pisang+goreng+Mbok+Surati/data=!4m7!3m6!1s0x2e7bdde04a66160f:0x6a463afffdb27a83!8m2!3d-8.2360992!4d110.9730203!16s%2Fg%2F11t0vqc2jg!19sChIJDxZmSuDdey4Rg3qy_f86Rmo?authuser=0&hl=id&rclk=1,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHGTCQyk2vkiDKauiAkXIrpkkvjTTSRr9MR5aFlzlDKxcetHKxt9wvExF261lNsToVXos1ZlfVhSXVUcjlft8_6fWM-T1LcjfeELgLwkQfLsdubdntqAlJSZMV078khYIsa8jKVuA=w32-h32-p-k-no,Ya,Tidak,Tidak,Belum Lengkap,
63,Warung Makan Dua Nyoman,Cafe,-,,,Belum Dicek,wa.me/62813359508590,Pasir Putih Watukarung,"Alamat: QX7G+9RV, Jalan Desa, RT.02/RW.06, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552",Tidak,https://www.google.com/maps/place/Warung+Makan+Dua+Nyoman/data=!4m7!3m6!1s0x2e7bdd0400edce53:0xc2de1403838a1402!8m2!3d-8.2365076!4d110.9770476!16s%2Fg%2F11gmg48yh3!19sChIJU87tAATdey4RAhSKgwMU3sI?authuser=0&hl=id&rclk=1,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF-AVpanEC8swA9iKcvXSSM7xBkpFU7r9bBy4GkVaR_uXtA-Q0U4jaJv-zTQShsagOLe8gAVmpdPIoQklDIHIywmOWVloZvIy-po9FcRyi309LbScWFo0h7skLCrioiggDMoI-d=w156-h114-p-k-no,Ya,Tidak,Tidak,Belum Lengkap,
64,Warung Bu Sumini,Warung Makan,"Ikan Bakar, Seafood Bakar",5rb- 130rb,07:00 - 18:00,Belum Dicek,wa.me/62852362656860,Pasir Putih Watukarung,"Alamat: QX7C+HJG, Jalan Dusun, RT.01/RW.07, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Ya,https://www.google.com/maps/place/Warung+Bu+Sumini/data=!4m7!3m6!1s0x2e7bdd48c83a045d:0x66ecdfb5630939d4!8m2!3d-8.2360601!4d110.971582!16s%2Fg%2F11fb0sy6m3!19sChIJXQQ6yEjdey4R1DkJY7Xf7GY?authuser=0&hl=id&rclk=1,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHqjDmhQCA6jY7kFqUk5O8lXtqsapw6BKy6vxt_KvrLcLRPp_rRwb3h0exOwq4bRja6lvQ4NawWLpKexbKA7-d4YeH4_JONMf24CAAEBv2ajoE5BYfYl3h0UGnxF0IOfCuaJhoQnw=w408-h724-k-no,Ya,Tidak,Ya,Lengkap,lengkapin foto maps
